order_id,delivery_date,load_weight,distance_km,estimated_time_hours,actual_time_hours,region,weather_condition,delivery_status,carrier
ORD9691,2023-02-18,275.72,40.1,6.7,58.5,East,Snowy,Delivered,Carrier_24
ORD8464,2023-03-27,179.54,452.2,47.1,27.2,Central,Rainy,Delayed,Carrier_19
ORD6618,2023-06-03,492.7,350.4,36.9,54.9,South,Sunny,Delayed,Carrier_29
ORD6108,2023-12-05,678.39,393.3,22.4,52.3,West,,Delivered,Carrier_19
ORD5478,2023-07-07,525.06,50.4,16.0,48.8,East,,Delivered,Carrier_9
ORD3334,2023-06-28,790.44,,33.5,45.3,North,Rainy,Delayed,Carrier_33
ORD1208,2023-01-31,107.42,492.8,21.7,54.0,East,,Cancelled,Carrier_13
ORD4621,2023-03-22,667.09,185.1,8.9,1.9,North,Snowy,Delayed,Carrier_42
ORD8829,2023-07-02,588.76,222.2,38.0,39.5,North,Rainy,Delivered,Carrier_9
ORD4900,2023-07-03,930.48,87.3,12.1,35.4,Central,Snowy,Delayed,Carrier_26
ORD8503,2023-05-04,618.6,455.9,31.2,47.1,Central,Sunny,Delivered,Carrier_46
ORD3348,2023-06-13,418.19,20.3,16.6,9.8,South,,Cancelled,Carrier_16
ORD1863,2023-01-25,358.02,15.6,40.7,58.5,South,,Cancelled,Carrier_11
ORD5418,2023-02-14,566.83,54.1,44.3,1.4,West,Snowy,Delivered,Carrier_45
ORD2034,2023-01-14,818.83,423.8,43.9,13.1,Central,,Cancelled,Carrier_4
ORD2702,2023-06-19,867.85,,38.5,52.7,Central,Sunny,Delivered,Carrier_21
ORD5155,2023-03-18,777.21,69.6,15.1,52.6,East,,Delayed,Carrier_40
ORD4886,2023-06-27,,48.7,9.9,52.0,South,,Cancelled,Carrier_10
ORD8240,2023-07-17,947.34,54.9,43.2,,Central,Rainy,Delayed,Carrier_8
ORD2098,2023-07-22,572.4,139.5,7.5,25.5,Central,Snowy,Cancelled,Carrier_6
ORD9221,2023-03-30,632.01,358.3,33.3,24.7,North,Sunny,Cancelled,Carrier_2
ORD3877,2023-03-05,596.46,53.5,17.5,19.2,West,Sunny,Cancelled,Carrier_24
ORD2270,2023-11-25,,124.0,22.5,48.8,West,,Delayed,Carrier_44
ORD3700,2023-01-26,624.36,463.5,2.0,13.3,North,Snowy,Cancelled,Carrier_14
ORD6752,2023-02-19,889.14,50.8,3.0,12.4,South,,Delivered,Carrier_8
ORD7253,2023-02-14,602.09,387.0,2.2,49.0,East,Snowy,Delivered,Carrier_11
ORD5034,2023-06-24,193.5,237.8,14.5,51.0,Central,Snowy,Delivered,Carrier_11
ORD5326,2023-04-09,346.26,203.7,21.7,42.8,West,Sunny,Delivered,Carrier_40
ORD6495,2023-01-31,495.44,217.2,23.9,,West,Sunny,Cancelled,Carrier_31
ORD6995,2023-09-25,726.18,257.1,8.6,,East,,Cancelled,Carrier_15
ORD6032,2023-05-08,478.51,235.6,31.1,,Central,Rainy,Delivered,Carrier_43
ORD1668,2023-08-03,270.45,,11.1,16.0,West,Sunny,Delivered,Carrier_19
ORD9637,2023-06-12,529.94,374.8,14.1,59.1,South,Rainy,Delivered,Carrier_11
ORD3898,2023-12-09,845.85,166.7,26.1,13.7,West,Sunny,Delivered,Carrier_12
ORD6495,2023-09-27,926.3,34.5,8.8,18.9,North,Snowy,Delivered,Carrier_23
ORD9590,2023-01-24,139.92,228.8,4.9,10.9,North,Snowy,Delivered,Carrier_26
ORD7727,2023-02-13,,223.1,31.6,20.7,Central,Snowy,Cancelled,Carrier_40
ORD8534,2023-04-23,,257.4,22.1,17.8,South,Snowy,Cancelled,Carrier_43
