Transaction_ID,Store_ID,Category,Transaction_Amount,Quantity,Date,Customer_Age,Payment_Method
1,52,Electronics,482.7,3,2023-11-27,55,Debit Card
2,93,Books,221.98,6,2023-03-18,47,Credit Card
3,15,Groceries,10.78,5,2023-06-15,50,Online Payment
4,72,Clothing,420.48,3,2023-06-25,63,Online Payment
5,61,Electronics,303.84,2,2023-10-02,59,Cash
6,21,Groceries,92.59,2,2023-02-12,50,Cash
7,83,Clothing,24.77,4,2023-11-03,66,Online Payment
8,87,Sports,152.83,9,2023-03-09,35,Online Payment
9,75,Home Goods,464.66,2,2023-12-04,38,Cash
10,75,Groceries,467.41,5,2023-04-28,62,Cash
11,88,Sports,162.39,8,2023-11-28,62,Credit Card
12,100,Books,419.61,2,2023-07-13,35,Cash
13,24,Books,226.5,7,2023-10-18,49,Credit Card
14,3,Clothing,330.63,6,2023-06-20,55,Debit Card
15,22,Electronics,173.88,1,2023-08-28,50,Cash
16,53,Home Goods,262.83,7,2023-08-15,33,Online Payment
17,2,Clothing,153.95,9,2023-02-21,26,Debit Card
18,88,Groceries,39.95,1,2023-06-02,58,Debit Card
19,30,Home Goods,78.3,2,2023-07-19,45,Cash
20,38,Sports,152.43,7,2023-05-21,44,Debit Card
21,2,Home Goods,488.36,1,2023-04-11,28,Online Payment
22,64,Sports,483.18,2,2023-02-04,49,Online Payment
23,60,Clothing,415.56,3,2023-08-20,46,Cash
24,21,Electronics,123.93,2,2023-03-05,25,Cash
25,33,Books,226.39,2,2023-02-05,23,Cash
26,76,Home Goods,225.49,2,2023-11-27,59,Cash
27,58,Electronics,199.62,7,2023-07-08,20,Online Payment
28,22,Electronics,31.99,4,2023-06-03,56,Cash
29,89,Books,271.92,4,2023-10-07,61,Credit Card
30,49,Home Goods,45.68,8,2023-08-26,24,Online Payment
31,91,Home Goods,402.94,5,2023-07-17,24,Credit Card
32,59,Electronics,348.74,1,2023-12-04,20,Cash
